"Disease","Report Year","DHBName","Ethnic Group","Case Count","Case rate per 100,000"
"Malaria",2006,"Waitemata","Māori",0,0
"Trichinosis",2006,"Waitemata","Māori",0,0
"Cysticercosis",2006,"Waitemata","Māori",0,0
"Taeniasis",2006,"Waitemata","Māori",0,0
"Salmonellosis",2006,"Waitemata","Māori",8,19.7
"Giardiasis",2006,"Waitemata","Māori",2,4.9
"Yersiniosis",2006,"Waitemata","Māori",2,4.9
"Campylobacteriosis",2006,"Waitemata","Māori",34,83.6
"Diphtheria",2006,"Waitemata","Māori",0,0
"Meningococcal disease",2006,"Waitemata","Māori",0,0
"Q fever",2006,"Waitemata","Māori",0,0
"Paratyphoid fever",2006,"Waitemata","Māori",0,0
"Poliomyelitis",2006,"Waitemata","Māori",0,0
"Hepatitis C",2006,"Waitemata","Māori",0,0
"Hepatitis A",2006,"Waitemata","Māori",1,2.5
"Cryptosporidiosis",2006,"Waitemata","Māori",1,2.5
"Tuberculosis disease",2006,"Waitemata","Māori",2,4.9
"Rheumatic fever",2006,"Waitemata","Māori",1,2.5
"Arboviral diseases",2006,"Waitemata","Māori",0,0
"Shigellosis",2006,"Waitemata","Māori",2,4.9
"Pertussis",2006,"Waitemata","Māori",3,7.4
"Acute gastroenteritis",2006,"Waitemata","Māori",2,4.9
"Meningoencephalitis - primary amoebic",2006,"Waitemata","Māori",0,0
"Haemophilus influenzae type b",2006,"Waitemata","Māori",0,0
"Leprosy",2006,"Waitemata","Māori",0,0
"Rubella",2006,"Waitemata","Māori",0,0
"Toxic shellfish poisoning",2006,"Waitemata","Māori",0,0
"Legionellosis",2006,"Waitemata","Māori",0,0
"Mumps",2006,"Waitemata","Māori",0,0
"Measles",2006,"Waitemata","Māori",1,2.5
"Typhoid fever",2006,"Waitemata","Māori",0,0
"Rickettsial disease",2006,"Waitemata","Māori",0,0
"VTEC/STEC infection",2006,"Waitemata","Māori",0,0
"Hepatitis B",2006,"Waitemata","Māori",0,0
"Hepatitis NOS",2006,"Waitemata","Māori",0,0
"Hydatid disease",2006,"Waitemata","Māori",0,0
"Leptospirosis",2006,"Waitemata","Māori",0,0
"Tetanus",2006,"Waitemata","Māori",0,0
"Mpox",2006,"Waitemata","Māori",0,0
"Brucellosis",2006,"Waitemata","Māori",0,0
"Invasive pneumococcal disease",2006,"Waitemata","Māori",0,0
"Listeriosis",2006,"Waitemata","Māori",0,0
"Rabies and other lyssaviruses",2006,"Waitemata","Māori",0,0
"Cholera",2006,"Waitemata","Māori",0,0
"Shigellosis",2006,"Waitemata","Pacific",2,6
"Q fever",2006,"Waitemata","Pacific",0,0
"Cysticercosis",2006,"Waitemata","Pacific",0,0
"Yersiniosis",2006,"Waitemata","Pacific",0,0
"Poliomyelitis",2006,"Waitemata","Pacific",0,0
"Paratyphoid fever",2006,"Waitemata","Pacific",0,0
"Hepatitis NOS",2006,"Waitemata","Pacific",0,0
"Diphtheria",2006,"Waitemata","Pacific",0,0
"Rabies and other lyssaviruses",2006,"Waitemata","Pacific",0,0
"Meningococcal disease",2006,"Waitemata","Pacific",2,6
"Legionellosis",2006,"Waitemata","Pacific",1,3
"Taeniasis",2006,"Waitemata","Pacific",0,0
"Arboviral diseases",2006,"Waitemata","Pacific",0,0
"Toxic shellfish poisoning",2006,"Waitemata","Pacific",0,0
"VTEC/STEC infection",2006,"Waitemata","Pacific",2,6
"Hydatid disease",2006,"Waitemata","Pacific",0,0
"Giardiasis",2006,"Waitemata","Pacific",0,0
"Acute gastroenteritis",2006,"Waitemata","Pacific",1,3
"Trichinosis",2006,"Waitemata","Pacific",0,0
"Tuberculosis disease",2006,"Waitemata","Pacific",3,9
"Listeriosis",2006,"Waitemata","Pacific",1,3
"Salmonellosis",2006,"Waitemata","Pacific",5,15
"Cryptosporidiosis",2006,"Waitemata","Pacific",0,0
"Rheumatic fever",2006,"Waitemata","Pacific",2,6
"Malaria",2006,"Waitemata","Pacific",1,3
"Leprosy",2006,"Waitemata","Pacific",0,0
"Rickettsial disease",2006,"Waitemata","Pacific",0,0
"Haemophilus influenzae type b",2006,"Waitemata","Pacific",0,0
"Typhoid fever",2006,"Waitemata","Pacific",7,21
"Hepatitis B",2006,"Waitemata","Pacific",2,6
"Measles",2006,"Waitemata","Pacific",0,0
"Brucellosis",2006,"Waitemata","Pacific",0,0
"Meningoencephalitis - primary amoebic",2006,"Waitemata","Pacific",0,0
"Leptospirosis",2006,"Waitemata","Pacific",0,0
"Mpox",2006,"Waitemata","Pacific",0,0
"Mumps",2006,"Waitemata","Pacific",1,3
"Campylobacteriosis",2006,"Waitemata","Pacific",22,66
"Rubella",2006,"Waitemata","Pacific",0,0
"Hepatitis C",2006,"Waitemata","Pacific",0,0
"Invasive pneumococcal disease",2006,"Waitemata","Pacific",0,0
"Hepatitis A",2006,"Waitemata","Pacific",3,9
"Tetanus",2006,"Waitemata","Pacific",0,0
"Pertussis",2006,"Waitemata","Pacific",0,0
"Cholera",2006,"Waitemata","Pacific",0,0
"Hepatitis C",2006,"Waitemata","Asian",0,0
"Acute gastroenteritis",2006,"Waitemata","Asian",0,0
"Q fever",2006,"Waitemata","Asian",0,0
"Invasive pneumococcal disease",2006,"Waitemata","Asian",0,0
"Trichinosis",2006,"Waitemata","Asian",0,0
"Hepatitis NOS",2006,"Waitemata","Asian",0,0
"Arboviral diseases",2006,"Waitemata","Asian",0,0
"Yersiniosis",2006,"Waitemata","Asian",2,3.1
"Brucellosis",2006,"Waitemata","Asian",0,0
"VTEC/STEC infection",2006,"Waitemata","Asian",1,1.5
"Poliomyelitis",2006,"Waitemata","Asian",0,0
"Shigellosis",2006,"Waitemata","Asian",2,3.1
"Rickettsial disease",2006,"Waitemata","Asian",0,0
"Cryptosporidiosis",2006,"Waitemata","Asian",5,7.6
"Cholera",2006,"Waitemata","Asian",0,0
"Tuberculosis disease",2006,"Waitemata","Asian",20,30.6
"Cysticercosis",2006,"Waitemata","Asian",0,0
"Rheumatic fever",2006,"Waitemata","Asian",0,0
"Giardiasis",2006,"Waitemata","Asian",4,6.1
"Paratyphoid fever",2006,"Waitemata","Asian",0,0
"Leprosy",2006,"Waitemata","Asian",1,1.5
"Leptospirosis",2006,"Waitemata","Asian",0,0
"Meningococcal disease",2006,"Waitemata","Asian",0,0
"Taeniasis",2006,"Waitemata","Asian",0,0
"Listeriosis",2006,"Waitemata","Asian",0,0
"Mumps",2006,"Waitemata","Asian",1,1.5
"Hepatitis A",2006,"Waitemata","Asian",0,0
"Hepatitis B",2006,"Waitemata","Asian",4,6.1
"Legionellosis",2006,"Waitemata","Asian",0,0
"Campylobacteriosis",2006,"Waitemata","Asian",71,108.5
"Mpox",2006,"Waitemata","Asian",0,0
"Measles",2006,"Waitemata","Asian",0,0
"Malaria",2006,"Waitemata","Asian",0,0
"Tetanus",2006,"Waitemata","Asian",0,0
"Toxic shellfish poisoning",2006,"Waitemata","Asian",0,0
"Haemophilus influenzae type b",2006,"Waitemata","Asian",0,0
"Pertussis",2006,"Waitemata","Asian",1,1.5
"Rabies and other lyssaviruses",2006,"Waitemata","Asian",0,0
"Typhoid fever",2006,"Waitemata","Asian",0,0
"Meningoencephalitis - primary amoebic",2006,"Waitemata","Asian",0,0
"Rubella",2006,"Waitemata","Asian",0,0
"Salmonellosis",2006,"Waitemata","Asian",6,9.2
"Diphtheria",2006,"Waitemata","Asian",0,0
"Hydatid disease",2006,"Waitemata","Asian",0,0
"Invasive pneumococcal disease",2006,"Waitemata","MELAA",0,0
"Cysticercosis",2006,"Waitemata","MELAA",0,0
"Rabies and other lyssaviruses",2006,"Waitemata","MELAA",0,0
"Tuberculosis disease",2006,"Waitemata","MELAA",2,31.7
"Paratyphoid fever",2006,"Waitemata","MELAA",0,0
"Acute gastroenteritis",2006,"Waitemata","MELAA",1,15.8
"Poliomyelitis",2006,"Waitemata","MELAA",0,0
"VTEC/STEC infection",2006,"Waitemata","MELAA",0,0
"Hepatitis NOS",2006,"Waitemata","MELAA",0,0
"Hepatitis C",2006,"Waitemata","MELAA",0,0
"Diphtheria",2006,"Waitemata","MELAA",0,0
"Leptospirosis",2006,"Waitemata","MELAA",0,0
"Trichinosis",2006,"Waitemata","MELAA",0,0
"Hydatid disease",2006,"Waitemata","MELAA",0,0
"Meningococcal disease",2006,"Waitemata","MELAA",0,0
"Legionellosis",2006,"Waitemata","MELAA",0,0
"Arboviral diseases",2006,"Waitemata","MELAA",0,0
"Malaria",2006,"Waitemata","MELAA",0,0
"Giardiasis",2006,"Waitemata","MELAA",0,0
"Hepatitis B",2006,"Waitemata","MELAA",0,0
"Rubella",2006,"Waitemata","MELAA",0,0
"Haemophilus influenzae type b",2006,"Waitemata","MELAA",0,0
"Rickettsial disease",2006,"Waitemata","MELAA",0,0
"Rheumatic fever",2006,"Waitemata","MELAA",0,0
"Listeriosis",2006,"Waitemata","MELAA",0,0
"Q fever",2006,"Waitemata","MELAA",0,0
"Cryptosporidiosis",2006,"Waitemata","MELAA",0,0
"Pertussis",2006,"Waitemata","MELAA",0,0
"Meningoencephalitis - primary amoebic",2006,"Waitemata","MELAA",0,0
"Leprosy",2006,"Waitemata","MELAA",0,0
"Yersiniosis",2006,"Waitemata","MELAA",0,0
"Taeniasis",2006,"Waitemata","MELAA",0,0
"Mumps",2006,"Waitemata","MELAA",0,0
"Brucellosis",2006,"Waitemata","MELAA",0,0
"Typhoid fever",2006,"Waitemata","MELAA",0,0
"Measles",2006,"Waitemata","MELAA",0,0
"Campylobacteriosis",2006,"Waitemata","MELAA",4,63.4
"Toxic shellfish poisoning",2006,"Waitemata","MELAA",0,0
"Cholera",2006,"Waitemata","MELAA",0,0
"Tetanus",2006,"Waitemata","MELAA",0,0
"Mpox",2006,"Waitemata","MELAA",0,0
"Shigellosis",2006,"Waitemata","MELAA",0,0
"Hepatitis A",2006,"Waitemata","MELAA",0,0
"Salmonellosis",2006,"Waitemata","MELAA",0,0
"Hepatitis NOS",2006,"Waitemata","European or Others",0,0
"Invasive pneumococcal disease",2006,"Waitemata","European or Others",0,0
"Pertussis",2006,"Waitemata","European or Others",9,2.7
"Rabies and other lyssaviruses",2006,"Waitemata","European or Others",0,0
"Giardiasis",2006,"Waitemata","European or Others",55,16.2
"Acute gastroenteritis",2006,"Waitemata","European or Others",62,18.3
"Malaria",2006,"Waitemata","European or Others",0,0
"Rickettsial disease",2006,"Waitemata","European or Others",0,0
"Meningococcal disease",2006,"Waitemata","European or Others",3,0.9
"Mumps",2006,"Waitemata","European or Others",3,0.9
"Measles",2006,"Waitemata","European or Others",1,0.3
"Cysticercosis",2006,"Waitemata","European or Others",0,0
"Arboviral diseases",2006,"Waitemata","European or Others",2,0.6
"Yersiniosis",2006,"Waitemata","European or Others",14,4.1
"Cryptosporidiosis",2006,"Waitemata","European or Others",35,10.3
"Poliomyelitis",2006,"Waitemata","European or Others",0,0
"Hepatitis B",2006,"Waitemata","European or Others",4,1.2
"Paratyphoid fever",2006,"Waitemata","European or Others",2,0.6
"Listeriosis",2006,"Waitemata","European or Others",3,0.9
"Typhoid fever",2006,"Waitemata","European or Others",2,0.6
"Leptospirosis",2006,"Waitemata","European or Others",1,0.3
"Shigellosis",2006,"Waitemata","European or Others",4,1.2
"Haemophilus influenzae type b",2006,"Waitemata","European or Others",1,0.3
"Hepatitis C",2006,"Waitemata","European or Others",1,0.3
"Meningoencephalitis - primary amoebic",2006,"Waitemata","European or Others",0,0
"Tuberculosis disease",2006,"Waitemata","European or Others",4,1.2
"Mpox",2006,"Waitemata","European or Others",0,0
"Hepatitis A",2006,"Waitemata","European or Others",11,3.2
"Toxic shellfish poisoning",2006,"Waitemata","European or Others",0,0
"Rheumatic fever",2006,"Waitemata","European or Others",0,0
"Cholera",2006,"Waitemata","European or Others",0,0
"Leprosy",2006,"Waitemata","European or Others",0,0
"Trichinosis",2006,"Waitemata","European or Others",0,0
"Tetanus",2006,"Waitemata","European or Others",0,0
"Hydatid disease",2006,"Waitemata","European or Others",0,0
"Q fever",2006,"Waitemata","European or Others",0,0
"Campylobacteriosis",2006,"Waitemata","European or Others",1133,334.1
"Legionellosis",2006,"Waitemata","European or Others",3,0.9
"VTEC/STEC infection",2006,"Waitemata","European or Others",9,2.7
"Rubella",2006,"Waitemata","European or Others",0,0
"Brucellosis",2006,"Waitemata","European or Others",0,0
"Salmonellosis",2006,"Waitemata","European or Others",77,22.7
"Taeniasis",2006,"Waitemata","European or Others",0,0
"Diphtheria",2006,"Waitemata","European or Others",0,0
"Shigellosis",2006,"Auckland","Māori",0,0
"Yersiniosis",2006,"Auckland","Māori",1,3.4
"Malaria",2006,"Auckland","Māori",0,0
"Rickettsial disease",2006,"Auckland","Māori",0,0
"Haemophilus influenzae type b",2006,"Auckland","Māori",0,0
"Cysticercosis",2006,"Auckland","Māori",0,0
"Giardiasis",2006,"Auckland","Māori",1,3.4
"Hepatitis C",2006,"Auckland","Māori",0,0
"Q fever",2006,"Auckland","Māori",0,0
"Pertussis",2006,"Auckland","Māori",1,3.4
"Paratyphoid fever",2006,"Auckland","Māori",0,0
"Cholera",2006,"Auckland","Māori",0,0
"Invasive pneumococcal disease",2006,"Auckland","Māori",0,0
"Hepatitis A",2006,"Auckland","Māori",0,0
"Toxic shellfish poisoning",2006,"Auckland","Māori",0,0
"Typhoid fever",2006,"Auckland","Māori",0,0
"Hepatitis NOS",2006,"Auckland","Māori",0,0
"Rheumatic fever",2006,"Auckland","Māori",1,3.4
"VTEC/STEC infection",2006,"Auckland","Māori",0,0
"Meningoencephalitis - primary amoebic",2006,"Auckland","Māori",0,0
"Meningococcal disease",2006,"Auckland","Māori",0,0
"Cryptosporidiosis",2006,"Auckland","Māori",2,6.8
"Tuberculosis disease",2006,"Auckland","Māori",1,3.4
"Rabies and other lyssaviruses",2006,"Auckland","Māori",0,0
"Brucellosis",2006,"Auckland","Māori",0,0
"Poliomyelitis",2006,"Auckland","Māori",0,0
"Legionellosis",2006,"Auckland","Māori",0,0
"Hepatitis B",2006,"Auckland","Māori",1,3.4
"Rubella",2006,"Auckland","Māori",1,3.4
"Acute gastroenteritis",2006,"Auckland","Māori",2,6.8
"Hydatid disease",2006,"Auckland","Māori",0,0
"Arboviral diseases",2006,"Auckland","Māori",0,0
"Trichinosis",2006,"Auckland","Māori",0,0
"Campylobacteriosis",2006,"Auckland","Māori",26,88.6
"Leptospirosis",2006,"Auckland","Māori",0,0
"Mpox",2006,"Auckland","Māori",0,0
"Diphtheria",2006,"Auckland","Māori",0,0
"Salmonellosis",2006,"Auckland","Māori",3,10.2
"Leprosy",2006,"Auckland","Māori",0,0
"Listeriosis",2006,"Auckland","Māori",0,0
"Taeniasis",2006,"Auckland","Māori",0,0
"Tetanus",2006,"Auckland","Māori",0,0
"Measles",2006,"Auckland","Māori",0,0
"Mumps",2006,"Auckland","Māori",0,0
"Paratyphoid fever",2006,"Auckland","Pacific",0,0
"Invasive pneumococcal disease",2006,"Auckland","Pacific",0,0
"Taeniasis",2006,"Auckland","Pacific",0,0
"Rickettsial disease",2006,"Auckland","Pacific",0,0
"Cysticercosis",2006,"Auckland","Pacific",0,0
"Poliomyelitis",2006,"Auckland","Pacific",0,0
"Malaria",2006,"Auckland","Pacific",2,4
"Toxic shellfish poisoning",2006,"Auckland","Pacific",0,0
"Haemophilus influenzae type b",2006,"Auckland","Pacific",0,0
"Leprosy",2006,"Auckland","Pacific",1,2
"Mumps",2006,"Auckland","Pacific",3,6.1
"Giardiasis",2006,"Auckland","Pacific",1,2
"Listeriosis",2006,"Auckland","Pacific",1,2
"Acute gastroenteritis",2006,"Auckland","Pacific",1,2
"Cryptosporidiosis",2006,"Auckland","Pacific",1,2
"Hepatitis B",2006,"Auckland","Pacific",2,4
"Campylobacteriosis",2006,"Auckland","Pacific",24,48.5
"Hepatitis C",2006,"Auckland","Pacific",0,0
"Mpox",2006,"Auckland","Pacific",0,0
"Meningococcal disease",2006,"Auckland","Pacific",5,10.1
"Tuberculosis disease",2006,"Auckland","Pacific",9,18.2
"Yersiniosis",2006,"Auckland","Pacific",1,2
"Trichinosis",2006,"Auckland","Pacific",0,0
"Rheumatic fever",2006,"Auckland","Pacific",7,14.1
"Typhoid fever",2006,"Auckland","Pacific",1,2
"Hepatitis NOS",2006,"Auckland","Pacific",0,0
"Q fever",2006,"Auckland","Pacific",0,0
"Brucellosis",2006,"Auckland","Pacific",0,0
"Meningoencephalitis - primary amoebic",2006,"Auckland","Pacific",0,0
"Hepatitis A",2006,"Auckland","Pacific",5,10.1
"Cholera",2006,"Auckland","Pacific",0,0
"Hydatid disease",2006,"Auckland","Pacific",0,0
"Pertussis",2006,"Auckland","Pacific",0,0
"Legionellosis",2006,"Auckland","Pacific",0,0
"Shigellosis",2006,"Auckland","Pacific",2,4
"Leptospirosis",2006,"Auckland","Pacific",0,0
"Arboviral diseases",2006,"Auckland","Pacific",0,0
"Salmonellosis",2006,"Auckland","Pacific",5,10.1
"Rabies and other lyssaviruses",2006,"Auckland","Pacific",0,0
"Rubella",2006,"Auckland","Pacific",0,0
"Diphtheria",2006,"Auckland","Pacific",0,0
"Measles",2006,"Auckland","Pacific",0,0
"Tetanus",2006,"Auckland","Pacific",0,0
"VTEC/STEC infection",2006,"Auckland","Pacific",0,0
"Giardiasis",2006,"Auckland","Asian",10,10.9
"Q fever",2006,"Auckland","Asian",0,0
"Measles",2006,"Auckland","Asian",0,0
"Arboviral diseases",2006,"Auckland","Asian",0,0
"Hydatid disease",2006,"Auckland","Asian",0,0
"Toxic shellfish poisoning",2006,"Auckland","Asian",0,0
"Leptospirosis",2006,"Auckland","Asian",0,0
"VTEC/STEC infection",2006,"Auckland","Asian",0,0
"Hepatitis NOS",2006,"Auckland","Asian",0,0
"Meningococcal disease",2006,"Auckland","Asian",0,0
"Haemophilus influenzae type b",2006,"Auckland","Asian",0,0
"Taeniasis",2006,"Auckland","Asian",0,0
"Campylobacteriosis",2006,"Auckland","Asian",104,113.4
"Paratyphoid fever",2006,"Auckland","Asian",1,1.1
"Acute gastroenteritis",2006,"Auckland","Asian",3,3.3
"Listeriosis",2006,"Auckland","Asian",0,0
"Legionellosis",2006,"Auckland","Asian",0,0
"Yersiniosis",2006,"Auckland","Asian",8,8.7
"Tetanus",2006,"Auckland","Asian",0,0
"Leprosy",2006,"Auckland","Asian",0,0
"Diphtheria",2006,"Auckland","Asian",0,0
"Rheumatic fever",2006,"Auckland","Asian",0,0
"Cysticercosis",2006,"Auckland","Asian",0,0
"Trichinosis",2006,"Auckland","Asian",0,0
"Meningoencephalitis - primary amoebic",2006,"Auckland","Asian",0,0
"Invasive pneumococcal disease",2006,"Auckland","Asian",0,0
"Cryptosporidiosis",2006,"Auckland","Asian",0,0
"Mpox",2006,"Auckland","Asian",0,0
"Tuberculosis disease",2006,"Auckland","Asian",37,40.4
"Pertussis",2006,"Auckland","Asian",1,1.1
"Malaria",2006,"Auckland","Asian",1,1.1
"Mumps",2006,"Auckland","Asian",1,1.1
"Rickettsial disease",2006,"Auckland","Asian",0,0
"Cholera",2006,"Auckland","Asian",0,0
"Hepatitis B",2006,"Auckland","Asian",0,0
"Rabies and other lyssaviruses",2006,"Auckland","Asian",0,0
"Rubella",2006,"Auckland","Asian",0,0
"Hepatitis A",2006,"Auckland","Asian",3,3.3
"Brucellosis",2006,"Auckland","Asian",0,0
"Typhoid fever",2006,"Auckland","Asian",0,0
"Poliomyelitis",2006,"Auckland","Asian",0,0
"Hepatitis C",2006,"Auckland","Asian",0,0
"Shigellosis",2006,"Auckland","Asian",3,3.3
"Salmonellosis",2006,"Auckland","Asian",7,7.6
"VTEC/STEC infection",2006,"Auckland","MELAA",0,0
"Hepatitis C",2006,"Auckland","MELAA",0,0
"Meningoencephalitis - primary amoebic",2006,"Auckland","MELAA",0,0
"Tuberculosis disease",2006,"Auckland","MELAA",6,90.2
"Pertussis",2006,"Auckland","MELAA",0,0
"Giardiasis",2006,"Auckland","MELAA",1,15
"Diphtheria",2006,"Auckland","MELAA",0,0
"Leptospirosis",2006,"Auckland","MELAA",0,0
"Trichinosis",2006,"Auckland","MELAA",0,0
"Haemophilus influenzae type b",2006,"Auckland","MELAA",0,0
"Meningococcal disease",2006,"Auckland","MELAA",0,0
"Hydatid disease",2006,"Auckland","MELAA",0,0
"Arboviral diseases",2006,"Auckland","MELAA",0,0
"Mumps",2006,"Auckland","MELAA",0,0
"Hepatitis A",2006,"Auckland","MELAA",1,15
"Hepatitis B",2006,"Auckland","MELAA",0,0
"Measles",2006,"Auckland","MELAA",0,0
"Shigellosis",2006,"Auckland","MELAA",1,15
"Hepatitis NOS",2006,"Auckland","MELAA",0,0
"Cysticercosis",2006,"Auckland","MELAA",0,0
"Q fever",2006,"Auckland","MELAA",0,0
"Taeniasis",2006,"Auckland","MELAA",0,0
"Yersiniosis",2006,"Auckland","MELAA",0,0
"Poliomyelitis",2006,"Auckland","MELAA",0,0
"Malaria",2006,"Auckland","MELAA",0,0
"Rheumatic fever",2006,"Auckland","MELAA",0,0
"Rabies and other lyssaviruses",2006,"Auckland","MELAA",0,0
"Tetanus",2006,"Auckland","MELAA",0,0
"Acute gastroenteritis",2006,"Auckland","MELAA",0,0
"Campylobacteriosis",2006,"Auckland","MELAA",8,120.3
"Cryptosporidiosis",2006,"Auckland","MELAA",0,0
"Invasive pneumococcal disease",2006,"Auckland","MELAA",0,0
"Cholera",2006,"Auckland","MELAA",0,0
"Paratyphoid fever",2006,"Auckland","MELAA",0,0
"Toxic shellfish poisoning",2006,"Auckland","MELAA",0,0
"Mpox",2006,"Auckland","MELAA",0,0
"Rubella",2006,"Auckland","MELAA",0,0
"Listeriosis",2006,"Auckland","MELAA",0,0
"Salmonellosis",2006,"Auckland","MELAA",1,15
"Rickettsial disease",2006,"Auckland","MELAA",0,0
"Leprosy",2006,"Auckland","MELAA",0,0
"Brucellosis",2006,"Auckland","MELAA",0,0
"Legionellosis",2006,"Auckland","MELAA",0,0
"Typhoid fever",2006,"Auckland","MELAA",0,0
"Giardiasis",2006,"Auckland","European or Others",87,37.9
"Pertussis",2006,"Auckland","European or Others",11,4.8
"Tuberculosis disease",2006,"Auckland","European or Others",1,0.4
"Cysticercosis",2006,"Auckland","European or Others",0,0
"Arboviral diseases",2006,"Auckland","European or Others",1,0.4
"Mumps",2006,"Auckland","European or Others",0,0
"Leptospirosis",2006,"Auckland","European or Others",0,0
"Hepatitis NOS",2006,"Auckland","European or Others",0,0
"Campylobacteriosis",2006,"Auckland","European or Others",814,354.5
"Q fever",2006,"Auckland","European or Others",0,0
"Meningococcal disease",2006,"Auckland","European or Others",10,4.4
"Haemophilus influenzae type b",2006,"Auckland","European or Others",1,0.4
"Hydatid disease",2006,"Auckland","European or Others",0,0
"Yersiniosis",2006,"Auckland","European or Others",11,4.8
"Toxic shellfish poisoning",2006,"Auckland","European or Others",0,0
"Listeriosis",2006,"Auckland","European or Others",0,0
"Acute gastroenteritis",2006,"Auckland","European or Others",69,30.1
"Meningoencephalitis - primary amoebic",2006,"Auckland","European or Others",0,0
"Shigellosis",2006,"Auckland","European or Others",8,3.5
"Cryptosporidiosis",2006,"Auckland","European or Others",25,10.9
"Paratyphoid fever",2006,"Auckland","European or Others",1,0.4
"Taeniasis",2006,"Auckland","European or Others",0,0
"Malaria",2006,"Auckland","European or Others",0,0
"Tetanus",2006,"Auckland","European or Others",0,0
"Leprosy",2006,"Auckland","European or Others",0,0
"Measles",2006,"Auckland","European or Others",1,0.4
"Rabies and other lyssaviruses",2006,"Auckland","European or Others",0,0
"Rheumatic fever",2006,"Auckland","European or Others",0,0
"Rickettsial disease",2006,"Auckland","European or Others",0,0
"Trichinosis",2006,"Auckland","European or Others",0,0
"Poliomyelitis",2006,"Auckland","European or Others",0,0
"Legionellosis",2006,"Auckland","European or Others",3,1.3
"Mpox",2006,"Auckland","European or Others",0,0
"Hepatitis C",2006,"Auckland","European or Others",1,0.4
"Diphtheria",2006,"Auckland","European or Others",0,0
"VTEC/STEC infection",2006,"Auckland","European or Others",3,1.3
"Hepatitis A",2006,"Auckland","European or Others",1,0.4
"Invasive pneumococcal disease",2006,"Auckland","European or Others",0,0
"Rubella",2006,"Auckland","European or Others",1,0.4
"Brucellosis",2006,"Auckland","European or Others",0,0
"Hepatitis B",2006,"Auckland","European or Others",3,1.3
"Typhoid fever",2006,"Auckland","European or Others",0,0
"Salmonellosis",2006,"Auckland","European or Others",64,27.9
"Cholera",2006,"Auckland","European or Others",0,0
"Tuberculosis disease",2006,"Bay of Plenty","Māori",4,9.6
"Cysticercosis",2006,"Bay of Plenty","Māori",0,0
"Meningococcal disease",2006,"Bay of Plenty","Māori",0,0
"Invasive pneumococcal disease",2006,"Bay of Plenty","Māori",0,0
"Hepatitis NOS",2006,"Bay of Plenty","Māori",0,0
"Arboviral diseases",2006,"Bay of Plenty","Māori",2,4.8
"Q fever",2006,"Bay of Plenty","Māori",0,0
"Yersiniosis",2006,"Bay of Plenty","Māori",3,7.2
"Paratyphoid fever",2006,"Bay of Plenty","Māori",0,0
"Campylobacteriosis",2006,"Bay of Plenty","Māori",56,134.9
"Malaria",2006,"Bay of Plenty","Māori",0,0
"Rickettsial disease",2006,"Bay of Plenty","Māori",0,0
"Rheumatic fever",2006,"Bay of Plenty","Māori",3,7.2
"Hydatid disease",2006,"Bay of Plenty","Māori",0,0
"Rabies and other lyssaviruses",2006,"Bay of Plenty","Māori",0,0
"Poliomyelitis",2006,"Bay of Plenty","Māori",0,0
"Leptospirosis",2006,"Bay of Plenty","Māori",2,4.8
"Trichinosis",2006,"Bay of Plenty","Māori",0,0
"Acute gastroenteritis",2006,"Bay of Plenty","Māori",1,2.4
"Listeriosis",2006,"Bay of Plenty","Māori",0,0
"Mpox",2006,"Bay of Plenty","Māori",0,0
"Cryptosporidiosis",2006,"Bay of Plenty","Māori",1,2.4
"Taeniasis",2006,"Bay of Plenty","Māori",0,0
"Meningoencephalitis - primary amoebic",2006,"Bay of Plenty","Māori",0,0
"Diphtheria",2006,"Bay of Plenty","Māori",0,0
"Salmonellosis",2006,"Bay of Plenty","Māori",7,16.9
"Shigellosis",2006,"Bay of Plenty","Māori",0,0
"Hepatitis C",2006,"Bay of Plenty","Māori",1,2.4
"Legionellosis",2006,"Bay of Plenty","Māori",0,0
"Hepatitis B",2006,"Bay of Plenty","Māori",0,0
"Pertussis",2006,"Bay of Plenty","Māori",12,28.9
"Measles",2006,"Bay of Plenty","Māori",0,0
"Haemophilus influenzae type b",2006,"Bay of Plenty","Māori",2,4.8
"Cholera",2006,"Bay of Plenty","Māori",0,0
"Toxic shellfish poisoning",2006,"Bay of Plenty","Māori",0,0
"Typhoid fever",2006,"Bay of Plenty","Māori",0,0
"Brucellosis",2006,"Bay of Plenty","Māori",0,0
"Giardiasis",2006,"Bay of Plenty","Māori",7,16.9
"Hepatitis A",2006,"Bay of Plenty","Māori",0,0
"Rubella",2006,"Bay of Plenty","Māori",0,0
"VTEC/STEC infection",2006,"Bay of Plenty","Māori",0,0
"Mumps",2006,"Bay of Plenty","Māori",1,2.4
"Leprosy",2006,"Bay of Plenty","Māori",0,0
"Tetanus",2006,"Bay of Plenty","Māori",0,0
"Meningococcal disease",2006,"Bay of Plenty","Pacific",0,0
"Leptospirosis",2006,"Bay of Plenty","Pacific",0,0
"Toxic shellfish poisoning",2006,"Bay of Plenty","Pacific",0,0
"Measles",2006,"Bay of Plenty","Pacific",0,0
"Rabies and other lyssaviruses",2006,"Bay of Plenty","Pacific",0,0
"Trichinosis",2006,"Bay of Plenty","Pacific",0,0
"Pertussis",2006,"Bay of Plenty","Pacific",0,0
"Tuberculosis disease",2006,"Bay of Plenty","Pacific",0,0
"Cysticercosis",2006,"Bay of Plenty","Pacific",0,0
