"Disease","Report Year","DHBName","Age Group (year)","Case Count","Case rate per 100,000"
"Cryptosporidiosis",2008,"Southern","35–39",4,20.4
"Giardiasis",2008,"Southern","35–39",6,30.6
"Meningococcal disease",2008,"Southern","35–39",0,0
"Arboviral diseases",2008,"Southern","35–39",0,0
"Leprosy",2008,"Southern","35–39",0,0
"Taeniasis",2008,"Southern","35–39",0,0
"Listeriosis",2008,"Southern","35–39",0,0
"Rheumatic fever",2008,"Southern","35–39",0,0
"Trichinosis",2008,"Southern","35–39",0,0
"Salmonellosis",2008,"Southern","35–39",8,40.8
"Diphtheria",2008,"Southern","35–39",0,0
"Meningoencephalitis - primary amoebic",2008,"Southern","35–39",0,0
"Hepatitis A",2008,"Southern","35–39",0,0
"Campylobacteriosis",2008,"Southern","35–39",25,127.4
"Measles",2008,"Southern","35–39",0,0
"Yersiniosis",2008,"Southern","35–39",1,5.1
"Mumps",2008,"Southern","35–39",0,0
"Paratyphoid fever",2008,"Southern","35–39",0,0
"Typhoid fever",2008,"Southern","35–39",0,0
"Toxic shellfish poisoning",2008,"Southern","35–39",0,0
"Acute gastroenteritis",2008,"Southern","35–39",1,5.1
"Leptospirosis",2008,"Southern","35–39",2,10.2
"Poliomyelitis",2008,"Southern","35–39",0,0
"Tuberculosis disease",2008,"Southern","35–39",0,0
"Shigellosis",2008,"Southern","35–39",1,5.1
"Brucellosis",2008,"Southern","40–44",0,0
"Hepatitis B",2008,"Southern","40–44",0,0
"VTEC/STEC infection",2008,"Southern","40–44",0,0
"Legionellosis",2008,"Southern","40–44",0,0
"Q fever",2008,"Southern","40–44",0,0
"Mpox",2008,"Southern","40–44",0,0
"Typhoid fever",2008,"Southern","40–44",0,0
"Leprosy",2008,"Southern","40–44",0,0
"Malaria",2008,"Southern","40–44",0,0
"Tetanus",2008,"Southern","40–44",0,0
"Taeniasis",2008,"Southern","40–44",0,0
"Haemophilus influenzae type b",2008,"Southern","40–44",0,0
"Cryptosporidiosis",2008,"Southern","40–44",2,10
"Hepatitis C",2008,"Southern","40–44",0,0
"Cysticercosis",2008,"Southern","40–44",0,0
"Salmonellosis",2008,"Southern","40–44",7,35.1
"Campylobacteriosis",2008,"Southern","40–44",27,135.2
"Giardiasis",2008,"Southern","40–44",12,60.1
"Hepatitis NOS",2008,"Southern","40–44",0,0
"Mumps",2008,"Southern","40–44",0,0
"Rheumatic fever",2008,"Southern","40–44",0,0
"Trichinosis",2008,"Southern","40–44",0,0
"Rabies and other lyssaviruses",2008,"Southern","40–44",0,0
"Shigellosis",2008,"Southern","40–44",1,5
"Hepatitis A",2008,"Southern","40–44",0,0
"Listeriosis",2008,"Southern","40–44",0,0
"Diphtheria",2008,"Southern","40–44",0,0
"Hydatid disease",2008,"Southern","40–44",0,0
"Meningococcal disease",2008,"Southern","40–44",0,0
"Poliomyelitis",2008,"Southern","40–44",0,0
"Toxic shellfish poisoning",2008,"Southern","40–44",0,0
"Arboviral diseases",2008,"Southern","40–44",0,0
"Tuberculosis disease",2008,"Southern","40–44",0,0
"Cholera",2008,"Southern","40–44",0,0
"Rubella",2008,"Southern","40–44",0,0
"Meningoencephalitis - primary amoebic",2008,"Southern","40–44",0,0
"Acute gastroenteritis",2008,"Southern","40–44",0,0
"Leptospirosis",2008,"Southern","40–44",0,0
"Pertussis",2008,"Southern","40–44",0,0
"Paratyphoid fever",2008,"Southern","40–44",0,0
"Invasive pneumococcal disease",2008,"Southern","40–44",0,0
"Measles",2008,"Southern","40–44",0,0
"Yersiniosis",2008,"Southern","40–44",2,10
"Rickettsial disease",2008,"Southern","40–44",0,0
"Leprosy",2008,"Southern","45–49",0,0
"Hepatitis NOS",2008,"Southern","45–49",0,0
"Rubella",2008,"Southern","45–49",0,0
"Rabies and other lyssaviruses",2008,"Southern","45–49",0,0
"Mpox",2008,"Southern","45–49",0,0
"Hepatitis B",2008,"Southern","45–49",0,0
"Trichinosis",2008,"Southern","45–49",0,0
"Listeriosis",2008,"Southern","45–49",0,0
"Giardiasis",2008,"Southern","45–49",9,41.4
"Taeniasis",2008,"Southern","45–49",0,0
"Rickettsial disease",2008,"Southern","45–49",0,0
"Mumps",2008,"Southern","45–49",0,0
"Malaria",2008,"Southern","45–49",0,0
"Measles",2008,"Southern","45–49",0,0
"Tetanus",2008,"Southern","45–49",0,0
"Meningococcal disease",2008,"Southern","45–49",0,0
"Pertussis",2008,"Southern","45–49",0,0
"Cysticercosis",2008,"Southern","45–49",0,0
"Paratyphoid fever",2008,"Southern","45–49",0,0
"Cholera",2008,"Southern","45–49",0,0
"Campylobacteriosis",2008,"Southern","45–49",27,124.3
"Invasive pneumococcal disease",2008,"Southern","45–49",0,0
"Salmonellosis",2008,"Southern","45–49",10,46
"VTEC/STEC infection",2008,"Southern","45–49",0,0
"Hydatid disease",2008,"Southern","45–49",0,0
"Hepatitis C",2008,"Southern","45–49",0,0
"Haemophilus influenzae type b",2008,"Southern","45–49",0,0
"Q fever",2008,"Southern","45–49",0,0
"Arboviral diseases",2008,"Southern","45–49",0,0
"Hepatitis A",2008,"Southern","45–49",0,0
"Leptospirosis",2008,"Southern","45–49",1,4.6
"Meningoencephalitis - primary amoebic",2008,"Southern","45–49",0,0
"Diphtheria",2008,"Southern","45–49",0,0
"Poliomyelitis",2008,"Southern","45–49",0,0
"Legionellosis",2008,"Southern","45–49",1,4.6
"Acute gastroenteritis",2008,"Southern","45–49",0,0
"Typhoid fever",2008,"Southern","45–49",0,0
"Rheumatic fever",2008,"Southern","45–49",0,0
"Brucellosis",2008,"Southern","45–49",0,0
"Shigellosis",2008,"Southern","45–49",0,0
"Cryptosporidiosis",2008,"Southern","45–49",3,13.8
"Tuberculosis disease",2008,"Southern","45–49",0,0
"Yersiniosis",2008,"Southern","45–49",0,0
"Toxic shellfish poisoning",2008,"Southern","45–49",0,0
"Rabies and other lyssaviruses",2008,"Southern","50–54",0,0
"Hepatitis B",2008,"Southern","50–54",1,5.1
"Mpox",2008,"Southern","50–54",0,0
"Hepatitis NOS",2008,"Southern","50–54",0,0
"Hepatitis A",2008,"Southern","50–54",0,0
"Mumps",2008,"Southern","50–54",0,0
"Meningococcal disease",2008,"Southern","50–54",1,5.1
"Tetanus",2008,"Southern","50–54",0,0
"Rubella",2008,"Southern","50–54",0,0
"Invasive pneumococcal disease",2008,"Southern","50–54",2,10.2
"Yersiniosis",2008,"Southern","50–54",2,10.2
"VTEC/STEC infection",2008,"Southern","50–54",1,5.1
"Hydatid disease",2008,"Southern","50–54",1,5.1
"Poliomyelitis",2008,"Southern","50–54",0,0
"Malaria",2008,"Southern","50–54",0,0
"Leprosy",2008,"Southern","50–54",0,0
"Trichinosis",2008,"Southern","50–54",0,0
"Taeniasis",2008,"Southern","50–54",0,0
"Giardiasis",2008,"Southern","50–54",5,25.4
"Rickettsial disease",2008,"Southern","50–54",0,0
"Leptospirosis",2008,"Southern","50–54",0,0
"Diphtheria",2008,"Southern","50–54",0,0
"Cholera",2008,"Southern","50–54",0,0
"Salmonellosis",2008,"Southern","50–54",4,20.3
"Arboviral diseases",2008,"Southern","50–54",0,0
"Campylobacteriosis",2008,"Southern","50–54",17,86.3
"Pertussis",2008,"Southern","50–54",4,20.3
"Cryptosporidiosis",2008,"Southern","50–54",3,15.2
"Haemophilus influenzae type b",2008,"Southern","50–54",0,0
"Meningoencephalitis - primary amoebic",2008,"Southern","50–54",0,0
"Hepatitis C",2008,"Southern","50–54",0,0
"Brucellosis",2008,"Southern","50–54",0,0
"Listeriosis",2008,"Southern","50–54",0,0
"Cysticercosis",2008,"Southern","50–54",0,0
"Typhoid fever",2008,"Southern","50–54",0,0
"Legionellosis",2008,"Southern","50–54",0,0
"Rheumatic fever",2008,"Southern","50–54",0,0
"Q fever",2008,"Southern","50–54",0,0
"Tuberculosis disease",2008,"Southern","50–54",0,0
"Measles",2008,"Southern","50–54",0,0
"Toxic shellfish poisoning",2008,"Southern","50–54",0,0
"Acute gastroenteritis",2008,"Southern","50–54",4,20.3
"Paratyphoid fever",2008,"Southern","50–54",0,0
"Shigellosis",2008,"Southern","50–54",0,0
"Yersiniosis",2008,"Southern","55–59",1,5.7
"Hepatitis A",2008,"Southern","55–59",0,0
"Invasive pneumococcal disease",2008,"Southern","55–59",0,0
"Rheumatic fever",2008,"Southern","55–59",0,0
"Hepatitis NOS",2008,"Southern","55–59",0,0
"Rabies and other lyssaviruses",2008,"Southern","55–59",0,0
"Measles",2008,"Southern","55–59",0,0
"Meningococcal disease",2008,"Southern","55–59",0,0
"Tetanus",2008,"Southern","55–59",0,0
"Hydatid disease",2008,"Southern","55–59",0,0
"VTEC/STEC infection",2008,"Southern","55–59",0,0
"Pertussis",2008,"Southern","55–59",1,5.7
"Rubella",2008,"Southern","55–59",0,0
"Arboviral diseases",2008,"Southern","55–59",0,0
"Mumps",2008,"Southern","55–59",0,0
"Diphtheria",2008,"Southern","55–59",0,0
"Rickettsial disease",2008,"Southern","55–59",0,0
"Hepatitis B",2008,"Southern","55–59",0,0
"Paratyphoid fever",2008,"Southern","55–59",0,0
"Shigellosis",2008,"Southern","55–59",0,0
"Campylobacteriosis",2008,"Southern","55–59",18,102.8
"Leprosy",2008,"Southern","55–59",0,0
"Giardiasis",2008,"Southern","55–59",6,34.3
"Salmonellosis",2008,"Southern","55–59",5,28.6
"Toxic shellfish poisoning",2008,"Southern","55–59",0,0
"Meningoencephalitis - primary amoebic",2008,"Southern","55–59",0,0
"Taeniasis",2008,"Southern","55–59",0,0
"Acute gastroenteritis",2008,"Southern","55–59",1,5.7
"Haemophilus influenzae type b",2008,"Southern","55–59",0,0
"Listeriosis",2008,"Southern","55–59",0,0
"Cysticercosis",2008,"Southern","55–59",0,0
"Poliomyelitis",2008,"Southern","55–59",0,0
"Cholera",2008,"Southern","55–59",0,0
"Q fever",2008,"Southern","55–59",0,0
"Cryptosporidiosis",2008,"Southern","55–59",1,5.7
"Hepatitis C",2008,"Southern","55–59",0,0
"Legionellosis",2008,"Southern","55–59",1,5.7
"Typhoid fever",2008,"Southern","55–59",0,0
"Leptospirosis",2008,"Southern","55–59",2,11.4
"Malaria",2008,"Southern","55–59",0,0
"Trichinosis",2008,"Southern","55–59",0,0
"Brucellosis",2008,"Southern","55–59",0,0
"Tuberculosis disease",2008,"Southern","55–59",0,0
"Mpox",2008,"Southern","55–59",0,0
"Acute gastroenteritis",2008,"Southern","60–64",1,6.6
"Taeniasis",2008,"Southern","60–64",0,0
"Rubella",2008,"Southern","60–64",0,0
"Brucellosis",2008,"Southern","60–64",0,0
"Hepatitis A",2008,"Southern","60–64",0,0
"Meningococcal disease",2008,"Southern","60–64",0,0
"VTEC/STEC infection",2008,"Southern","60–64",1,6.6
"Tetanus",2008,"Southern","60–64",0,0
"Hepatitis NOS",2008,"Southern","60–64",0,0
"Cholera",2008,"Southern","60–64",0,0
"Campylobacteriosis",2008,"Southern","60–64",26,171.2
"Giardiasis",2008,"Southern","60–64",6,39.5
"Haemophilus influenzae type b",2008,"Southern","60–64",0,0
"Diphtheria",2008,"Southern","60–64",0,0
"Paratyphoid fever",2008,"Southern","60–64",0,0
"Yersiniosis",2008,"Southern","60–64",0,0
"Leprosy",2008,"Southern","60–64",0,0
"Hepatitis B",2008,"Southern","60–64",0,0
"Arboviral diseases",2008,"Southern","60–64",0,0
"Mumps",2008,"Southern","60–64",0,0
"Cysticercosis",2008,"Southern","60–64",0,0
"Pertussis",2008,"Southern","60–64",1,6.6
"Hepatitis C",2008,"Southern","60–64",0,0
"Rheumatic fever",2008,"Southern","60–64",0,0
"Measles",2008,"Southern","60–64",0,0
"Rickettsial disease",2008,"Southern","60–64",0,0
"Meningoencephalitis - primary amoebic",2008,"Southern","60–64",0,0
"Salmonellosis",2008,"Southern","60–64",9,59.3
"Shigellosis",2008,"Southern","60–64",0,0
"Rabies and other lyssaviruses",2008,"Southern","60–64",0,0
"Listeriosis",2008,"Southern","60–64",0,0
"Cryptosporidiosis",2008,"Southern","60–64",1,6.6
"Typhoid fever",2008,"Southern","60–64",0,0
"Tuberculosis disease",2008,"Southern","60–64",0,0
"Toxic shellfish poisoning",2008,"Southern","60–64",0,0
"Leptospirosis",2008,"Southern","60–64",1,6.6
"Trichinosis",2008,"Southern","60–64",0,0
"Legionellosis",2008,"Southern","60–64",1,6.6
"Q fever",2008,"Southern","60–64",0,0
"Mpox",2008,"Southern","60–64",0,0
"Poliomyelitis",2008,"Southern","60–64",0,0
"Malaria",2008,"Southern","60–64",0,0
"Hydatid disease",2008,"Southern","60–64",0,0
"Invasive pneumococcal disease",2008,"Southern","60–64",0,0
"Paratyphoid fever",2008,"Southern","65–69",0,0
"Taeniasis",2008,"Southern","65–69",0,0
"Arboviral diseases",2008,"Southern","65–69",0,0
"Mpox",2008,"Southern","65–69",0,0
"VTEC/STEC infection",2008,"Southern","65–69",0,0
"Hepatitis C",2008,"Southern","65–69",0,0
"Hepatitis B",2008,"Southern","65–69",0,0
"Hepatitis NOS",2008,"Southern","65–69",0,0
"Rheumatic fever",2008,"Southern","65–69",0,0
"Measles",2008,"Southern","65–69",0,0
"Rubella",2008,"Southern","65–69",0,0
"Shigellosis",2008,"Southern","65–69",0,0
"Salmonellosis",2008,"Southern","65–69",6,49.5
"Tetanus",2008,"Southern","65–69",0,0
"Giardiasis",2008,"Southern","65–69",3,24.8
"Poliomyelitis",2008,"Southern","65–69",0,0
"Rabies and other lyssaviruses",2008,"Southern","65–69",0,0
"Pertussis",2008,"Southern","65–69",4,33
"Typhoid fever",2008,"Southern","65–69",0,0
"Trichinosis",2008,"Southern","65–69",0,0
"Cryptosporidiosis",2008,"Southern","65–69",0,0
"Diphtheria",2008,"Southern","65–69",0,0
"Hepatitis A",2008,"Southern","65–69",0,0
"Rickettsial disease",2008,"Southern","65–69",0,0
"Meningoencephalitis - primary amoebic",2008,"Southern","65–69",0,0
"Cholera",2008,"Southern","65–69",0,0
"Leprosy",2008,"Southern","65–69",0,0
"Meningococcal disease",2008,"Southern","65–69",0,0
"Cysticercosis",2008,"Southern","65–69",0,0
"Campylobacteriosis",2008,"Southern","65–69",21,173.4
"Mumps",2008,"Southern","65–69",0,0
"Hydatid disease",2008,"Southern","65–69",0,0
"Haemophilus influenzae type b",2008,"Southern","65–69",0,0
"Brucellosis",2008,"Southern","65–69",0,0
"Leptospirosis",2008,"Southern","65–69",0,0
"Acute gastroenteritis",2008,"Southern","65–69",0,0
"Listeriosis",2008,"Southern","65–69",1,8.3
"Tuberculosis disease",2008,"Southern","65–69",0,0
"Yersiniosis",2008,"Southern","65–69",2,16.5
"Invasive pneumococcal disease",2008,"Southern","65–69",0,0
"Q fever",2008,"Southern","65–69",0,0
"Malaria",2008,"Southern","65–69",0,0
"Legionellosis",2008,"Southern","65–69",0,0
"Toxic shellfish poisoning",2008,"Southern","65–69",0,0
"Trichinosis",2008,"Southern","70–74",0,0
"Tetanus",2008,"Southern","70–74",0,0
"Meningoencephalitis - primary amoebic",2008,"Southern","70–74",0,0
"Hepatitis NOS",2008,"Southern","70–74",0,0
"Arboviral diseases",2008,"Southern","70–74",0,0
"Mumps",2008,"Southern","70–74",0,0
"Taeniasis",2008,"Southern","70–74",0,0
"Hepatitis B",2008,"Southern","70–74",0,0
"Hydatid disease",2008,"Southern","70–74",0,0
"Paratyphoid fever",2008,"Southern","70–74",0,0
"Listeriosis",2008,"Southern","70–74",0,0
"Hepatitis C",2008,"Southern","70–74",0,0
"Legionellosis",2008,"Southern","70–74",0,0
"Rabies and other lyssaviruses",2008,"Southern","70–74",0,0
"Giardiasis",2008,"Southern","70–74",1,10.5
"Pertussis",2008,"Southern","70–74",1,10.5
"Shigellosis",2008,"Southern","70–74",1,10.5
"Campylobacteriosis",2008,"Southern","70–74",11,115.6
"Brucellosis",2008,"Southern","70–74",0,0
"Rheumatic fever",2008,"Southern","70–74",0,0
"Rubella",2008,"Southern","70–74",0,0
"Cholera",2008,"Southern","70–74",0,0
"Acute gastroenteritis",2008,"Southern","70–74",0,0
"Mpox",2008,"Southern","70–74",0,0
"Salmonellosis",2008,"Southern","70–74",5,52.5
"Leprosy",2008,"Southern","70–74",0,0
"Typhoid fever",2008,"Southern","70–74",0,0
"Poliomyelitis",2008,"Southern","70–74",0,0
"Measles",2008,"Southern","70–74",0,0
"Hepatitis A",2008,"Southern","70–74",0,0
"Diphtheria",2008,"Southern","70–74",0,0
"Q fever",2008,"Southern","70–74",0,0
"Cryptosporidiosis",2008,"Southern","70–74",0,0
"Meningococcal disease",2008,"Southern","70–74",1,10.5
"Invasive pneumococcal disease",2008,"Southern","70–74",0,0
"Yersiniosis",2008,"Southern","70–74",0,0
"Malaria",2008,"Southern","70–74",0,0
"Rickettsial disease",2008,"Southern","70–74",0,0
"Cysticercosis",2008,"Southern","70–74",0,0
"Tuberculosis disease",2008,"Southern","70–74",0,0
"Toxic shellfish poisoning",2008,"Southern","70–74",0,0
"Leptospirosis",2008,"Southern","70–74",0,0
"VTEC/STEC infection",2008,"Southern","70–74",0,0
"Haemophilus influenzae type b",2008,"Southern","70–74",0,0
"Arboviral diseases",2008,"Southern","75–79",0,0
"Shigellosis",2008,"Southern","75–79",0,0
"Mumps",2008,"Southern","75–79",0,0
"Taeniasis",2008,"Southern","75–79",0,0
"Rheumatic fever",2008,"Southern","75–79",0,0
"Campylobacteriosis",2008,"Southern","75–79",6,73.4
"Rabies and other lyssaviruses",2008,"Southern","75–79",0,0
"Pertussis",2008,"Southern","75–79",0,0
"Hepatitis B",2008,"Southern","75–79",0,0
"Rubella",2008,"Southern","75–79",0,0
"Legionellosis",2008,"Southern","75–79",0,0
"Hepatitis C",2008,"Southern","75–79",0,0
"Typhoid fever",2008,"Southern","75–79",0,0
"Meningoencephalitis - primary amoebic",2008,"Southern","75–79",0,0
"Paratyphoid fever",2008,"Southern","75–79",0,0
"Hepatitis NOS",2008,"Southern","75–79",0,0
"Diphtheria",2008,"Southern","75–79",0,0
"Measles",2008,"Southern","75–79",0,0
"Invasive pneumococcal disease",2008,"Southern","75–79",1,12.2
"Hydatid disease",2008,"Southern","75–79",0,0
"Tetanus",2008,"Southern","75–79",0,0
"Listeriosis",2008,"Southern","75–79",0,0
"Giardiasis",2008,"Southern","75–79",0,0
"Cysticercosis",2008,"Southern","75–79",0,0
"Salmonellosis",2008,"Southern","75–79",2,24.5
"Brucellosis",2008,"Southern","75–79",0,0
"Malaria",2008,"Southern","75–79",0,0
"Q fever",2008,"Southern","75–79",0,0
"Cholera",2008,"Southern","75–79",0,0
"Toxic shellfish poisoning",2008,"Southern","75–79",0,0
"Hepatitis A",2008,"Southern","75–79",1,12.2
"Tuberculosis disease",2008,"Southern","75–79",0,0
"Yersiniosis",2008,"Southern","75–79",0,0
"Trichinosis",2008,"Southern","75–79",0,0
"Rickettsial disease",2008,"Southern","75–79",0,0
"Meningococcal disease",2008,"Southern","75–79",0,0
"Cryptosporidiosis",2008,"Southern","75–79",0,0
"Acute gastroenteritis",2008,"Southern","75–79",1,12.2
"Leptospirosis",2008,"Southern","75–79",0,0
"Poliomyelitis",2008,"Southern","75–79",0,0
"Leprosy",2008,"Southern","75–79",0,0
"VTEC/STEC infection",2008,"Southern","75–79",0,0
"Mpox",2008,"Southern","75–79",0,0
"Haemophilus influenzae type b",2008,"Southern","75–79",0,0
"Campylobacteriosis",2008,"Southern","80–84",10,170.4
"Pertussis",2008,"Southern","80–84",0,0
"Hepatitis A",2008,"Southern","80–84",0,0
"Hepatitis C",2008,"Southern","80–84",0,0
"Trichinosis",2008,"Southern","80–84",0,0
"Rabies and other lyssaviruses",2008,"Southern","80–84",0,0
"Arboviral diseases",2008,"Southern","80–84",0,0
"Salmonellosis",2008,"Southern","80–84",4,68.1
"Rheumatic fever",2008,"Southern","80–84",0,0
"Hepatitis B",2008,"Southern","80–84",0,0
"Shigellosis",2008,"Southern","80–84",0,0
"Diphtheria",2008,"Southern","80–84",0,0
"Hepatitis NOS",2008,"Southern","80–84",0,0
"Malaria",2008,"Southern","80–84",0,0
"Yersiniosis",2008,"Southern","80–84",0,0
"Brucellosis",2008,"Southern","80–84",0,0
"Paratyphoid fever",2008,"Southern","80–84",0,0
"Measles",2008,"Southern","80–84",0,0
"Meningococcal disease",2008,"Southern","80–84",0,0
"Legionellosis",2008,"Southern","80–84",0,0
"Rickettsial disease",2008,"Southern","80–84",0,0
"Cysticercosis",2008,"Southern","80–84",0,0
"Mumps",2008,"Southern","80–84",0,0
"Meningoencephalitis - primary amoebic",2008,"Southern","80–84",0,0
"Rubella",2008,"Southern","80–84",0,0
"Cholera",2008,"Southern","80–84",0,0
"Leptospirosis",2008,"Southern","80–84",0,0
"Invasive pneumococcal disease",2008,"Southern","80–84",0,0
"Listeriosis",2008,"Southern","80–84",0,0
"Hydatid disease",2008,"Southern","80–84",0,0
"Tetanus",2008,"Southern","80–84",0,0
"Mpox",2008,"Southern","80–84",0,0
"Taeniasis",2008,"Southern","80–84",0,0
"VTEC/STEC infection",2008,"Southern","80–84",0,0
"Typhoid fever",2008,"Southern","80–84",0,0
"Leprosy",2008,"Southern","80–84",0,0
"Poliomyelitis",2008,"Southern","80–84",0,0
"Giardiasis",2008,"Southern","80–84",0,0
"Q fever",2008,"Southern","80–84",0,0
"Haemophilus influenzae type b",2008,"Southern","80–84",0,0
"Tuberculosis disease",2008,"Southern","80–84",0,0
"Acute gastroenteritis",2008,"Southern","80–84",0,0
"Cryptosporidiosis",2008,"Southern","80–84",0,0
"Toxic shellfish poisoning",2008,"Southern","80–84",0,0
"Rabies and other lyssaviruses",2008,"Southern","85+",0,0
"Rheumatic fever",2008,"Southern","85+",0,0
"Taeniasis",2008,"Southern","85+",0,0
"Typhoid fever",2008,"Southern","85+",0,0
"Yersiniosis",2008,"Southern","85+",2,40.9
"Brucellosis",2008,"Southern","85+",0,0
"Malaria",2008,"Southern","85+",0,0
"Hepatitis C",2008,"Southern","85+",0,0
"Diphtheria",2008,"Southern","85+",0,0
"Shigellosis",2008,"Southern","85+",0,0
"Haemophilus influenzae type b",2008,"Southern","85+",0,0
"Measles",2008,"Southern","85+",0,0
"Leptospirosis",2008,"Southern","85+",0,0
"Hepatitis B",2008,"Southern","85+",0,0
"Meningococcal disease",2008,"Southern","85+",0,0
"Listeriosis",2008,"Southern","85+",1,20.4
"Hepatitis NOS",2008,"Southern","85+",0,0
"Mumps",2008,"Southern","85+",0,0
"Giardiasis",2008,"Southern","85+",0,0
"Rickettsial disease",2008,"Southern","85+",0,0
"Trichinosis",2008,"Southern","85+",0,0
"Cholera",2008,"Southern","85+",0,0
"Paratyphoid fever",2008,"Southern","85+",0,0
"Poliomyelitis",2008,"Southern","85+",0,0
"Hepatitis A",2008,"Southern","85+",0,0
"Rubella",2008,"Southern","85+",0,0
"Meningoencephalitis - primary amoebic",2008,"Southern","85+",0,0
"Arboviral diseases",2008,"Southern","85+",0,0
"Legionellosis",2008,"Southern","85+",0,0
"Cysticercosis",2008,"Southern","85+",0,0
"VTEC/STEC infection",2008,"Southern","85+",0,0
"Salmonellosis",2008,"Southern","85+",3,61.3
"Mpox",2008,"Southern","85+",0,0
"Invasive pneumococcal disease",2008,"Southern","85+",3,61.3
"Tetanus",2008,"Southern","85+",0,0
"Q fever",2008,"Southern","85+",0,0
"Leprosy",2008,"Southern","85+",0,0
"Campylobacteriosis",2008,"Southern","85+",10,204.4
"Pertussis",2008,"Southern","85+",0,0
"Acute gastroenteritis",2008,"Southern","85+",0,0
"Tuberculosis disease",2008,"Southern","85+",0,0
"Toxic shellfish poisoning",2008,"Southern","85+",0,0
"Hydatid disease",2008,"Southern","85+",0,0
"Cryptosporidiosis",2008,"Southern","85+",0,0
"Hepatitis B",2008,"South Canterbury","0–4",0,0
"Hepatitis C",2008,"South Canterbury","0–4",0,0
"Meningococcal disease",2008,"South Canterbury","0–4",0,0
"Cholera",2008,"South Canterbury","0–4",0,0
"Mumps",2008,"South Canterbury","0–4",0,0
"Pertussis",2008,"South Canterbury","0–4",0,0
"Cryptosporidiosis",2008,"South Canterbury","0–4",27,859.6
"Rheumatic fever",2008,"South Canterbury","0–4",0,0
"Yersiniosis",2008,"South Canterbury","0–4",1,31.8
"Trichinosis",2008,"South Canterbury","0–4",0,0
"Diphtheria",2008,"South Canterbury","0–4",0,0
"Arboviral diseases",2008,"South Canterbury","0–4",0,0
"Toxic shellfish poisoning",2008,"South Canterbury","0–4",0,0
"Meningoencephalitis - primary amoebic",2008,"South Canterbury","0–4",0,0
"Acute gastroenteritis",2008,"South Canterbury","0–4",1,31.8
"Taeniasis",2008,"South Canterbury","0–4",0,0
"Tetanus",2008,"South Canterbury","0–4",0,0
"Brucellosis",2008,"South Canterbury","0–4",0,0
"Haemophilus influenzae type b",2008,"South Canterbury","0–4",0,0
"Shigellosis",2008,"South Canterbury","0–4",0,0
"Measles",2008,"South Canterbury","0–4",0,0
"Rabies and other lyssaviruses",2008,"South Canterbury","0–4",0,0
"Poliomyelitis",2008,"South Canterbury","0–4",0,0
"Invasive pneumococcal disease",2008,"South Canterbury","0–4",0,0
"Q fever",2008,"South Canterbury","0–4",0,0
"Hepatitis NOS",2008,"South Canterbury","0–4",0,0
"Listeriosis",2008,"South Canterbury","0–4",0,0
"Giardiasis",2008,"South Canterbury","0–4",2,63.7
"Malaria",2008,"South Canterbury","0–4",0,0
"Salmonellosis",2008,"South Canterbury","0–4",9,286.5
"Typhoid fever",2008,"South Canterbury","0–4",0,0
"Legionellosis",2008,"South Canterbury","0–4",0,0
"Paratyphoid fever",2008,"South Canterbury","0–4",0,0
"Rickettsial disease",2008,"South Canterbury","0–4",0,0
"Tuberculosis disease",2008,"South Canterbury","0–4",0,0
"Hepatitis A",2008,"South Canterbury","0–4",0,0
"Hydatid disease",2008,"South Canterbury","0–4",0,0
"Leprosy",2008,"South Canterbury","0–4",0,0
"Campylobacteriosis",2008,"South Canterbury","0–4",31,986.9
"Cysticercosis",2008,"South Canterbury","0–4",0,0
"Leptospirosis",2008,"South Canterbury","0–4",0,0
"VTEC/STEC infection",2008,"South Canterbury","0–4",1,31.8
"Rubella",2008,"South Canterbury","0–4",0,0
"Mpox",2008,"South Canterbury","0–4",0,0
"Brucellosis",2008,"South Canterbury","5–9",0,0
"Rheumatic fever",2008,"South Canterbury","5–9",0,0
"Acute gastroenteritis",2008,"South Canterbury","5–9",0,0
"Giardiasis",2008,"South Canterbury","5–9",1,30.2
"Toxic shellfish poisoning",2008,"South Canterbury","5–9",0,0
"Shigellosis",2008,"South Canterbury","5–9",0,0
"Hepatitis B",2008,"South Canterbury","5–9",0,0
"Diphtheria",2008,"South Canterbury","5–9",0,0
"Cholera",2008,"South Canterbury","5–9",0,0
"Hepatitis NOS",2008,"South Canterbury","5–9",0,0
"Rubella",2008,"South Canterbury","5–9",0,0
"Hepatitis C",2008,"South Canterbury","5–9",0,0
"Cysticercosis",2008,"South Canterbury","5–9",0,0
"Campylobacteriosis",2008,"South Canterbury","5–9",4,120.7
"Legionellosis",2008,"South Canterbury","5–9",0,0
"Rabies and other lyssaviruses",2008,"South Canterbury","5–9",0,0
"Meningococcal disease",2008,"South Canterbury","5–9",0,0
"Tetanus",2008,"South Canterbury","5–9",0,0
"Yersiniosis",2008,"South Canterbury","5–9",0,0
"Pertussis",2008,"South Canterbury","5–9",0,0
"Tuberculosis disease",2008,"South Canterbury","5–9",0,0
"Arboviral diseases",2008,"South Canterbury","5–9",0,0
"Rickettsial disease",2008,"South Canterbury","5–9",0,0
"Typhoid fever",2008,"South Canterbury","5–9",0,0
"Meningoencephalitis - primary amoebic",2008,"South Canterbury","5–9",0,0
"Cryptosporidiosis",2008,"South Canterbury","5–9",6,181.1
"Listeriosis",2008,"South Canterbury","5–9",0,0
